start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost
"(0, 0)","(140, 140)",20,59.74955390755719,53.79898987322333,85.55959700988713
"(0, 0)","(140, 140)",20,95.39585055316763,100.8406204335659,114.65349508022385
"(0, 0)","(140, 140)",20,27.051442698144793,27.384776310850242,54.91782778473177
"(0, 0)","(140, 140)",20,180.98808602940062,172.2964645562818,191.7189135074782
"(0, 0)","(140, 140)",20,78.39139077603592,67.72792206135786,83.1452833603796
"(0, 0)","(140, 140)",20,92.47606985328535,54.0,58.685887191105905
"(0, 0)","(140, 140)",20,68.36358977119372,68.82842712474618,73.92273925749103
"(0, 0)","(140, 140)",20,39.04445825351529,21.899494936611667,23.412643525376012
"(0, 0)","(140, 140)",20,80.63487483979955,44.41421356237309,60.003348844839735
"(0, 0)","(140, 140)",20,34.9772650255993,37.071067811865476,49.621300842420276
"(0, 0)","(140, 140)",20,15.905851555365007,16.414213562373096,18.745367710370385
