Goal $g$,[our]Path cost,[A*]Path cost,[RRT*]Path cost,[our]Number path turns,[A*]Number path turns,[RRT*]Number path turns,[our]Computational time,[A*]Computational time,[RRT*]Computational time
"(20, 50)",33.32354660125915,34.041630560342625,40.644890186009725,4.0,7.0,11.0,0.0004639625549316,0.0033621788024902,0.0005745887756347
"(30, 40)",48.92829686937256,50.06204902523966,63.935779382624965,5.444444444444445,16.22222222222222,17.11111111111111,0.04630385504828553,0.03589222166273324,0.0018925136990016887
"(30, 60)",49.340388282745245,31.0,91.212780080041,4.0,0.0,26.0,0.0109639167785644,0.000765323638916,0.0013830661773681
"(30, 90)",49.35639678079728,29.899494936611667,50.35828580778029,5.0,12.0,14.0,0.0253577232360839,0.0052294731140136,0.0006430149078369
"(40, 40)",33.68670430777528,29.57411613907041,40.60184270738771,2.5,8.75,11.0,0.00836938619613645,0.004829168319702125,0.0010033845901489
"(40, 50)",27.94927012227271,21.808802290397626,27.945202731267944,2.0,3.3333333333333335,6.666666666666667,0.006585915883382101,0.0020004908243814335,0.0006308555603027
"(40, 70)",47.332067345387884,36.027753706895076,73.2419342459029,4.333333333333333,11.0,21.0,0.0362509091695149,0.0053559144337971655,0.0009516080220540001
"(40, 80)",34.10020472579203,29.22995427949448,33.23798752470132,1.6666666666666667,7.166666666666667,9.166666666666666,0.030921975771586067,0.015819986661275185,0.0007925033569335334
"(50, 20)",34.519036359076246,20.092388155425116,25.063600422378666,2.7,6.2,6.0,0.0279699325561523,0.01198658943176266,0.0005665063858031917
"(50, 40)",40.13912403191303,34.23036860086523,46.47575740291891,5.363636363636363,5.636363636363637,12.909090909090908,0.053962013938210186,0.015887195413762826,0.002708044919100644
"(50, 50)",31.529634122137224,24.080319047497166,29.195462190832952,2.4444444444444446,6.333333333333333,7.333333333333333,0.016025278303358242,0.005889839596218468,0.0007615089416503567
"(60, 20)",54.04367370598154,48.86405612345406,60.42471156559602,4.636363636363637,16.545454545454547,16.272727272727273,0.055978818373246565,0.039638497612693044,0.0032901330427689544
"(60, 30)",33.823392879017106,26.412489168102788,31.726117565250274,1.8,4.7,8.1,0.02296237945556636,0.00253410339355463,0.0008511543273925198
"(60, 50)",37.256881188382046,35.91776858450045,44.148800650807715,3.0,6.7272727272727275,11.0,0.02725807103243736,0.010384624654596455,0.0012858780947598008
"(60, 60)",38.88841063053397,34.6154851942814,39.94092096365034,2.5,5.875,10.375,0.00116208195686335,0.007581382989883375,0.0012655854225158375
"(60, 70)",37.26642705401812,31.945079348883233,41.00436428678178,1.9,2.5,10.8,0.01439776420593256,0.0043580293655395,0.0012596607208251501
"(60, 80)",32.91858604452629,27.02775370689508,45.08066078575873,4.333333333333333,11.666666666666666,12.666666666666666,0.056035200754801395,0.010593255360921166,0.0012664000193277668
"(70, 20)",44.375847081473346,39.215230215286105,45.50152202576587,4.181818181818182,6.090909090909091,12.272727272727273,0.024443778124722516,0.009377891367131973,0.0016004605726761718
"(70, 30)",37.59125853916174,33.44715406862662,36.44752082205276,4.0,6.555555555555555,9.666666666666666,0.015582561492919879,0.006517357296413788,0.001225683424207852
"(70, 50)",47.6894509568361,43.48233764908629,53.63530193793829,3.6,7.2,14.1,0.03536446094512935,0.01183896064758297,0.0018109083175658698
"(70, 70)",39.70029892179329,39.11492782986672,49.731954835079996,3.7,12.7,12.8,0.03953475952148432,0.03348801136016842,0.0016402482986449698
"(70, 90)",35.044733490190794,32.07716446627535,37.68721922690193,4.0,5.5,10.0,0.025274038314819253,0.0033279657363891497,0.0006908178329466999
"(80, 40)",45.780518263882044,44.82039878342177,59.760392695676295,3.090909090909091,6.909090909090909,16.363636363636363,0.03843775662508872,0.010477911342274018,0.002337325703013964
"(80, 60)",24.23026062525391,20.990187582825712,54.58127394632054,1.0,4.333333333333333,15.333333333333334,0.0012168089548746334,0.0024505456288655,0.0014898777008055999
"(80, 70)",36.16752811690644,32.238329701443504,41.580041183866925,3.5,11.0,11.75,0.0065227150917052746,0.006790876388549749,0.000619888305664025
"(90, 20)",16.55931826368569,17.414213562373096,18.21908762618765,1.0,1.0,5.0,0.0006022453308105,0.0009560585021972,0.0003774166107177
"(90, 60)",51.71107263582515,45.64949493661165,56.04049078213327,11.25,4.25,14.5,0.030428469181060725,0.0193784832954406,0.002009153366088818
