start,goal,range,[our]_reached_goal_global_pick_improved,[our]_path_cost_global_pick_improved,[our]_reached_goal_neighbor_pick_improved,[our]_path_cost_neighbor_pick_improved,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(100, 140)",10,False,565.4657742424288,False,568.6444103056039,True,595.3473835991543
"(0, 0)","(100, 140)",15,True,723.6127530845072,True,765.5010917182879,False,765.6456251668839
"(0, 0)","(100, 140)",20,True,692.0408435105606,True,692.0408435105606,True,511.0983979733783
"(0, 0)","(100, 140)",25,True,717.7393607487999,True,717.7393607487999,True,553.2818631179133
"(0, 0)","(100, 140)",30,True,528.8781482142076,True,528.8781482142076,True,483.0369952255364
"(0, 0)","(100, 40)",10,True,292.7215023338396,True,139.21256565664947,True,122.23565862211206
"(0, 0)","(100, 40)",15,True,269.4981383633336,True,269.4981383633336,True,117.48182142225671
"(0, 0)","(100, 40)",20,True,116.07813541755316,True,116.07813541755316,True,235.468978379118
"(0, 0)","(100, 40)",25,True,252.9669368027577,True,252.9669368027577,True,225.2678708243008
"(0, 0)","(100, 40)",30,True,216.4416254888498,True,216.4416254888498,True,211.12727742593145
"(0, 0)","(100, 80)",10,True,395.74386100002886,False,515.2041386937861,True,304.3208075004872
"(0, 0)","(100, 80)",15,False,1715.3184232320166,False,710.0527371074002,False,759.3657948650654
"(0, 0)","(100, 80)",20,False,2068.230294899689,True,387.0081162108533,True,266.55634135496
"(0, 0)","(100, 80)",25,True,371.7624470575243,False,2367.326712981335,True,254.1160962998001
"(0, 0)","(100, 80)",30,False,3297.8238241959707,False,2522.0611048080154,True,257.7110235904853
"(0, 0)","(120, 120)",10,False,545.9671319120062,False,519.0471107489182,True,478.7642726132325
"(0, 0)","(120, 120)",15,False,896.4392806405574,True,506.5932385202999,False,763.4038596265851
"(0, 0)","(120, 120)",20,False,1809.013285869832,True,708.3934893371522,False,768.1661343830192
"(0, 0)","(120, 120)",25,False,1796.289985006164,True,1504.0167644334474,False,748.8288593962046
"(0, 0)","(120, 120)",30,True,2027.0530628317013,True,685.3120222090095,False,752.8453567027177
"(0, 0)","(120, 160)",10,False,578.8637919464704,False,570.5095428265275,False,739.2880917428827
"(0, 0)","(120, 160)",15,False,974.697169922428,False,829.5947084319712,False,757.4443271315183
"(0, 0)","(120, 160)",20,True,722.1455619607858,True,722.1455619607858,False,750.7392376258802
"(0, 0)","(120, 160)",25,True,678.8798691118704,True,729.9404084829182,False,741.5728426926137
"(0, 0)","(120, 160)",30,True,778.7598043316711,False,2385.1793488497924,False,773.506135468912
"(0, 0)","(120, 60)",10,True,382.1567852799236,True,163.6836864848283,True,288.39879761051435
"(0, 0)","(120, 60)",15,True,282.40035997766194,True,282.40035997766194,True,148.87841698960662
"(0, 0)","(120, 60)",20,True,287.0329635647335,True,287.0329635647335,True,266.5793146908229
"(0, 0)","(120, 60)",25,True,262.55041976543674,True,262.55041976543674,True,256.1818506681892
"(0, 0)","(120, 60)",30,True,250.57085941001597,True,250.57085941001597,True,243.37248969767987
"(0, 0)","(140, 100)",10,True,503.058557864244,True,412.51963538869074,True,362.2989496854863
"(0, 0)","(140, 100)",15,False,959.0045296447136,True,365.0229913822744,True,330.10816113000794
"(0, 0)","(140, 100)",20,False,1729.0616493852326,False,1496.7965359886257,False,760.592782651787
"(0, 0)","(140, 100)",25,True,345.40924108015264,True,345.40924108015264,True,315.552698399609
"(0, 0)","(140, 100)",30,True,341.08630899876584,True,341.08630899876584,False,751.9276342427903
"(0, 0)","(140, 140)",10,False,535.6850466522747,False,460.68004271506,True,497.31416043459257
"(0, 0)","(140, 140)",15,False,1033.321072572768,True,522.0030671967621,True,479.1771202641264
"(0, 0)","(140, 140)",20,False,1503.069864959882,False,1242.4922455782291,False,773.8872562890668
"(0, 0)","(140, 140)",25,True,1543.1946840052435,False,1686.893529393304,True,680.8262421854819
"(0, 0)","(140, 140)",30,True,447.24732255175695,True,447.24732255175695,False,746.6212132028444
"(0, 0)","(140, 20)",10,True,145.26614959998145,True,145.26614959998145,True,146.40544342333277
"(0, 0)","(140, 20)",15,True,161.07459007731504,True,161.07459007731504,True,149.87215624305668
"(0, 0)","(140, 20)",20,True,148.5585613397058,True,148.5585613397058,True,411.8505924810884
"(0, 0)","(140, 20)",25,True,163.95828554499155,True,163.95828554499155,True,149.1104455915235
"(0, 0)","(140, 20)",30,True,154.05435578511407,True,154.05435578511407,True,150.39170065767323
"(0, 0)","(160, 120)",10,True,477.38746816031846,False,541.7094812681568,True,379.9121455098089
"(0, 0)","(160, 120)",15,True,418.3294407266844,True,384.8026854123164,False,717.2575812965005
"(0, 0)","(160, 120)",20,False,1488.6267847277145,True,383.4847298298179,False,746.1832340687505
"(0, 0)","(160, 120)",25,False,2307.4414813705894,True,1295.7267897480772,False,748.1986889400589
"(0, 0)","(160, 120)",30,True,387.4819694893099,True,387.4819694893099,False,758.5712091568697
"(0, 0)","(160, 160)",10,False,534.5418169649502,False,431.4829943988794,True,546.9671393802696
"(0, 0)","(160, 160)",15,False,1044.47102603365,False,873.6121140205354,True,496.861540904216
"(0, 0)","(160, 160)",20,False,1315.1490999694815,False,1279.2965507791655,False,734.08415707922
"(0, 0)","(160, 160)",25,True,1478.8313722626006,True,859.1788980087583,False,745.0132366146823
"(0, 0)","(160, 160)",30,True,514.4354714200548,True,514.4354714200548,False,748.2564923346838
"(0, 0)","(160, 20)",10,True,173.59485603955912,True,173.59485603955912,True,164.3719639334708
"(0, 0)","(160, 20)",15,True,166.643742673673,True,166.643742673673,True,173.23089422831737
"(0, 0)","(160, 20)",20,True,178.60212289781447,True,178.60212289781447,True,166.6066830812446
"(0, 0)","(160, 20)",25,True,175.32445262464253,True,175.32445262464253,True,167.96173070620404
"(0, 0)","(160, 20)",30,True,182.11469914380933,True,182.11469914380933,True,167.54914659957706
"(0, 0)","(160, 40)",10,False,1178.747031507524,False,621.7947274353246,True,678.4384221037648
"(0, 0)","(160, 40)",15,True,686.2982119426906,True,576.4826812275272,True,178.2749970573183
"(0, 0)","(160, 40)",20,True,184.0561356242182,True,184.0561356242182,True,439.21917289876734
"(0, 0)","(160, 40)",25,True,180.1803973488668,True,180.1803973488668,True,435.4698133029167
"(0, 0)","(160, 40)",30,True,186.4544608962605,True,186.4544608962605,True,440.1324136247106
"(0, 0)","(160, 80)",10,False,978.2127729458164,False,826.5738949468229,True,712.7819838041282
"(0, 0)","(160, 80)",15,True,745.8652796012847,True,675.5087245219339,True,601.1471242006376
"(0, 0)","(160, 80)",20,True,698.759429106901,True,1013.271247617274,True,547.9815420569392
"(0, 0)","(160, 80)",25,True,685.0180549688101,True,572.8168151622781,True,531.7992482707288
"(0, 0)","(160, 80)",30,True,379.1109500202982,True,379.1109500202982,True,507.2208318454876
"(0, 0)","(180, 100)",10,False,522.5439651540999,False,597.8523672892239,True,709.347888124233
"(0, 0)","(180, 100)",15,True,602.0477186036145,True,602.0477186036145,True,664.0241209447519
"(0, 0)","(180, 100)",20,True,705.2984492315202,True,705.2984492315202,True,528.3785742319316
"(0, 0)","(180, 100)",25,True,758.8125070573122,True,758.8125070573122,True,510.799872211453
"(0, 0)","(180, 100)",30,True,804.8608861296879,True,804.8608861296879,True,483.8903512957048
"(0, 0)","(180, 120)",10,False,570.0273046239722,False,468.17270462362455,True,607.8451668694034
"(0, 0)","(180, 120)",15,True,818.448484024772,False,1056.0420815547743,True,512.3589803880741
"(0, 0)","(180, 120)",20,True,797.7019738510731,True,797.7019738510731,True,508.5315464287461
"(0, 0)","(180, 120)",25,True,822.5513785631828,True,1251.7085979642973,False,760.4048126352092
"(0, 0)","(180, 120)",30,True,686.3470459714745,True,686.3470459714745,True,457.2052682525679
"(0, 0)","(180, 140)",10,False,551.2920264444375,False,589.4782457076388,False,733.8286048943577
"(0, 0)","(180, 140)",15,False,1014.0055855747196,False,971.9125516775276,True,506.5539975614519
"(0, 0)","(180, 140)",20,False,1231.5330705274066,False,1295.160238656213,True,486.3392939911155
"(0, 0)","(180, 140)",25,True,1427.1518528917477,True,1113.000405731587,False,736.8820304523039
"(0, 0)","(180, 140)",30,True,1194.340268118331,True,1277.2326015477288,False,743.3118532752105
"(0, 0)","(180, 180)",10,False,463.228254595767,False,559.5296493781678,False,730.1288515172951
"(0, 0)","(180, 180)",15,False,854.9339809091952,False,1062.6652197591789,False,753.4872969475377
"(0, 0)","(180, 180)",20,True,878.5482347503215,True,817.8845814691164,False,741.9354286009637
"(0, 0)","(180, 180)",25,True,1007.0074487950884,True,1355.2686378687154,False,725.7134463252448
"(0, 0)","(180, 180)",30,True,861.6770116639372,False,1826.5975984903323,False,746.6278500432654
"(0, 0)","(180, 20)",10,True,185.95657806342484,True,185.95657806342484,True,189.88085980950692
"(0, 0)","(180, 20)",15,True,191.8835440308089,True,191.8835440308089,True,189.87735005037763
"(0, 0)","(180, 20)",20,True,187.20028132141968,True,187.20028132141968,True,187.15528986859985
"(0, 0)","(180, 20)",25,True,185.84358233941845,True,185.84358233941845,True,191.13106006633623
"(0, 0)","(180, 20)",30,True,191.47444704993777,True,191.47444704993777,True,189.7976824715637
"(0, 0)","(180, 40)",10,False,904.1047196441054,False,646.8270468719386,True,205.1488076882004
"(0, 0)","(180, 40)",15,True,211.26994462950236,True,211.26994462950236,True,501.2687163418504
"(0, 0)","(180, 40)",20,True,482.48358634424727,True,495.7505204117167,True,198.1701481598764
"(0, 0)","(180, 40)",25,True,430.22757450971,True,430.22757450971,True,457.4546038687725
"(0, 0)","(180, 40)",30,True,360.21796896350133,True,360.21796896350133,True,197.146018811548
"(0, 0)","(180, 60)",10,False,500.42990048740654,False,463.5250880182937,True,646.0516812991958
"(0, 0)","(180, 60)",15,True,499.3914600814154,True,499.3914600814154,True,476.9000334696349
"(0, 0)","(180, 60)",20,True,525.8227241506995,True,525.8227241506995,True,461.7575826415597
"(0, 0)","(180, 60)",25,True,513.1401519430333,True,513.1401519430333,True,429.5372477576505
"(0, 0)","(180, 60)",30,True,479.7830034729643,True,479.7830034729643,True,533.8519778036892
"(0, 0)","(180, 80)",10,False,849.169177388281,False,511.93397214305503,False,750.1188860205697
"(0, 0)","(180, 80)",15,True,658.7932726293253,True,516.15705478984,True,450.9793769641604
"(0, 0)","(180, 80)",20,True,605.0299353375414,True,605.0299353375414,True,552.2116033294141
"(0, 0)","(180, 80)",25,True,454.8172036155236,True,454.8172036155236,True,534.2663485962307
"(0, 0)","(180, 80)",30,True,621.0338283994399,True,621.0338283994399,True,510.7112087210064
"(0, 0)","(20, 100)",10,True,111.24725689973516,True,111.24725689973516,True,112.4080382851174
"(0, 0)","(20, 100)",15,True,257.07076393026176,True,336.38817449785364,True,107.8696591268761
"(0, 0)","(20, 100)",20,True,266.159231549193,True,332.14041756149265,True,104.49581951269164
"(0, 0)","(20, 100)",25,True,106.49294124651108,True,106.49294124651108,True,109.56602521565368
"(0, 0)","(20, 100)",30,True,175.80420038792124,True,288.44037667815513,True,105.68966576630775
"(0, 0)","(20, 20)",10,True,28.343868794509348,True,28.343868794509348,True,29.44707023315139
"(0, 0)","(20, 20)",15,True,28.312439195889663,True,28.312439195889663,True,29.113742282634835
"(0, 0)","(20, 20)",20,True,28.28431544094965,True,28.28431544094965,True,30.8982216268512
"(0, 0)","(20, 20)",25,True,28.28433803519609,True,28.28433803519609,True,28.597419015720657
"(0, 0)","(20, 20)",30,True,28.284271247461906,True,28.284271247461906,True,28.594736750326483
"(0, 0)","(20, 60)",10,True,63.37049279723119,True,63.37049279723119,True,63.94135873474738
"(0, 0)","(20, 60)",15,True,63.27430387608963,True,63.27430387608963,True,63.92226266354962
"(0, 0)","(20, 60)",20,True,63.24671952492573,True,63.24671952492573,True,65.32787989719007
"(0, 0)","(20, 60)",25,True,63.24557567577502,True,63.24557567577502,True,65.93299132694231
"(0, 0)","(20, 60)",30,True,63.25208764430001,True,63.25208764430001,True,66.00585368967018
"(0, 0)","(40, 40)",10,True,56.72721835421675,True,56.72721835421675,True,58.64542449571796
"(0, 0)","(40, 40)",15,True,56.6464544769152,True,56.6464544769152,True,58.15668721450766
"(0, 0)","(40, 40)",20,True,56.572132772466894,True,56.572132772466894,True,57.60373662903108
"(0, 0)","(40, 40)",25,True,56.56918197958661,True,56.56918197958661,True,57.1415713505564
"(0, 0)","(40, 40)",30,True,56.56926185858795,True,56.56926185858795,True,57.53703573166912
"(0, 0)","(60, 80)",10,True,317.6028953300841,False,480.66681542602265,True,255.6708692043441
"(0, 0)","(60, 80)",15,True,265.62285602017454,False,743.8809251627257,True,240.9566818840157
"(0, 0)","(60, 80)",20,True,233.90729702226048,True,233.90729702226048,True,105.59613664325576
"(0, 0)","(60, 80)",25,True,313.1297139838692,True,667.1251777749245,True,212.58116490181888
"(0, 0)","(60, 80)",30,True,225.42763802541236,True,225.42763802541236,True,202.07531981235095
"(0, 0)","(80, 100)",10,True,388.1364781435661,True,423.4886019601751,True,299.86766261399094
"(0, 0)","(80, 100)",15,True,263.5207210655958,True,263.5207210655958,True,256.74372682996784
"(0, 0)","(80, 100)",20,True,261.51237239670354,True,261.51237239670354,True,253.88206699310075
"(0, 0)","(80, 100)",25,True,288.04724028888484,True,288.04724028888484,True,248.18415560605496
"(0, 0)","(80, 100)",30,True,258.524380507183,True,258.524380507183,True,236.15001644456711
"(0, 0)","(80, 140)",10,False,545.7251206938662,False,573.2647229403138,True,705.7771475223678
"(0, 0)","(80, 140)",15,True,698.0071554181588,True,698.0071554181588,False,750.1868786436447
"(0, 0)","(80, 140)",20,True,441.5649593315509,True,412.9744740887988,False,766.2109185105899
"(0, 0)","(80, 140)",25,True,606.3469385450401,True,606.3469385450401,False,740.2522280361034
"(0, 0)","(80, 140)",30,False,4062.366175909784,False,3166.4012025164598,True,512.6624026136769
"(0, 0)","(80, 20)",10,True,92.72701870595286,True,92.72701870595286,True,88.40594430774182
"(0, 0)","(80, 20)",15,True,90.53272925884448,True,90.53272925884448,True,88.02611774145267
"(0, 0)","(80, 20)",20,True,87.13572389873927,True,87.13572389873927,True,88.39638108138412
"(0, 0)","(80, 20)",25,True,84.84876921597898,True,84.84876921597898,True,90.1044672966382
"(0, 0)","(80, 20)",30,True,100.49146625800653,True,100.49146625800653,True,85.91883016071054
"(0, 0)","(80, 60)",10,True,100.203087540632,True,100.203087540632,True,103.04079588703996
"(0, 0)","(80, 60)",15,True,100.09922821960132,True,100.09922821960132,True,103.52302227254592
"(0, 0)","(80, 60)",20,True,100.011832222415,True,100.011832222415,True,105.37649747740048
"(0, 0)","(80, 60)",25,True,100.00059765990896,True,100.00059765990896,True,101.74074013611836
"(0, 0)","(80, 60)",30,True,100.00625286356728,True,100.00625286356728,True,101.89621450535496
