Goal $g$,[our]Number of reached goal (picking global first),[our]Number of reached goal (picking neighbor first),[RRTX]Number of reached goal,[our]Path length mean (picking global first),[our]Path length mean (picking neighbor first),[RRTX]Path length mean,[our]Path length standard deviation (picking global first),[our]Path length standard deviation (picking neighbor first),[RRTX]Path length standard deviation
"(100, 140)",4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
"(100, 40)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(100, 80)",2,1,4,1569.7757700770458,1300.330561960278,368.4140127221596,1231.805230161313,1052.391990485813,219.4569352024619
"(120, 120)",1,4,1,1414.952549252052,784.6725250497653,702.4016965443518,651.7976695362544,412.6233409138822,125.25969709780925
"(120, 160)",3,2,0,746.6692394546451,1047.473914110399,752.5101269323612,146.95409073096442,753.5065118797997,13.809065465310498
"(120, 60)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(140, 100)",3,4,3,775.5240573946218,592.1669425677019,504.09604522193615,589.6760517256907,506.4960707218025,230.8342839425521
"(140, 140)",2,2,3,1012.503598148385,871.8632414870226,635.5651984752225,517.1054646140693,564.2279397544556,138.8214434882557
"(140, 20)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(160, 120)",3,4,1,1015.8534288949235,598.6411311495357,670.0245717943978,856.379813748716,395.5303331096076,162.90182510524576
"(160, 160)",2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
"(160, 20)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(160, 40)",4,4,5,483.14724746391204,349.7936805064395,434.30696379749554,445.6457082093331,228.1938719862315,176.92650650093756
"(160, 80)",4,4,5,697.3932973286221,693.4563264537214,580.1861460355842,213.6982548471989,241.70793047869552,81.73644270881461
"(180, 100)",4,4,5,678.7127052352469,693.7743856622717,579.2881613616148,115.43649675525864,92.62530286089545,100.59683065316267
"(180, 120)",4,3,4,739.0152374068949,851.9944807930488,569.2691549148001,109.61628573954222,307.86064366750054,119.90317770356243
"(180, 140)",2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
"(180, 180)",3,2,0,813.0789861428618,1124.3891373931021,739.5785746868614,205.18504707663013,490.71967369037225,11.513455723771658
"(180, 20)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(180, 40)",4,4,5,477.66075881821325,428.8586110772738,311.83765897404953,259.27036715408093,161.27849059497217,153.74118386309567
"(180, 60)",4,4,5,503.7134480271038,496.3324855332812,509.619704594346,17.174183228285354,25.058630435994864,85.11087889015536
"(180, 80)",4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 100)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 20)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 60)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(40, 40)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(60, 80)",5,3,5,271.1380800763601,470.20157068226916,203.37603448915706,43.093705429242725,239.55066234493233,58.72475947980735
"(80, 100)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(80, 140)",3,3,2,1270.80206997968,1091.3988987017542,695.0179150652766,1563.3134331777799,1164.5159673202554,104.31622040264118
"(80, 20)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
"(80, 60)",5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
