start,goal,range,reached_goal_ranking_function_1,cost_ranking_function_1,reached_goal_ranking_function_2,cost_ranking_function_2
"(0, 0)","(50, 50)",20,True,915.3891269856965,True,915.3891269856965
"(0, 0)","(50, 50)",25,True,775.9712454304074,True,775.9712454304074
"(0, 0)","(50, 50)",30,True,771.5705470225178,True,771.5705470225178
"(0, 0)","(50, 50)",35,True,921.94578170031,True,921.94578170031
"(0, 0)","(50, 50)",40,True,581.6013001861422,True,581.6013001861422
"(0, 0)","(50, 50)",45,True,649.5471368509853,True,649.5471368509853
"(0, 0)","(50, 50)",50,False,22058.567990881755,False,22058.567990881755
"(0, 0)","(50, 50)",55,False,22132.74586023037,False,22132.74586023037
"(0, 0)","(50, 50)",60,False,27482.50951281212,False,27482.50951281212
"(0, 0)","(50, 50)",65,True,505.60696105105256,True,505.60696105105256
"(0, 0)","(50, 50)",70,True,507.3043457203223,True,507.3043457203223
"(0, 0)","(50, 50)",75,False,31058.34314273287,False,31058.34314273287
"(0, 0)","(45, 65)",20,True,448.46065680524464,True,448.46065680524464
"(0, 0)","(45, 65)",25,False,10862.16905059205,False,10862.16905059205
"(0, 0)","(45, 65)",30,False,13934.43177726818,False,13934.43177726818
"(0, 0)","(45, 65)",35,True,663.2445556207116,True,663.2445556207116
"(0, 0)","(45, 65)",40,False,17990.187864323485,False,17990.187864323485
"(0, 0)","(45, 65)",45,False,19590.071533116185,False,19590.071533116185
"(0, 0)","(45, 65)",50,False,22959.308339849937,False,22959.308339849937
"(0, 0)","(45, 65)",55,True,221.7448831606519,True,221.7448831606519
"(0, 0)","(45, 65)",60,False,26354.42616536794,False,26354.42616536794
"(0, 0)","(45, 65)",65,False,26695.513389054933,False,26695.513389054933
"(0, 0)","(45, 65)",70,False,30342.030489968827,False,30342.030489968827
"(0, 0)","(45, 65)",75,False,30699.844831033515,False,30699.844831033515
"(0, 0)","(100, 100)",20,True,592.6280705899975,True,592.6280705899975
"(0, 0)","(100, 100)",25,True,485.83350253449834,True,485.83350253449834
"(0, 0)","(100, 100)",30,True,511.04706926530946,True,511.04706926530946
"(0, 0)","(100, 100)",35,True,640.813646110718,True,640.813646110718
"(0, 0)","(100, 100)",40,True,416.22687047216647,True,416.22687047216647
"(0, 0)","(100, 100)",45,True,216.5454485915753,True,216.5454485915753
"(0, 0)","(100, 100)",50,True,222.53741209274676,True,222.53741209274676
"(0, 0)","(100, 100)",55,True,234.02661497829305,True,234.02661497829305
"(0, 0)","(100, 100)",60,True,228.02579243821233,True,228.02579243821233
"(0, 0)","(100, 100)",65,True,232.810568160612,True,232.810568160612
"(0, 0)","(100, 100)",70,True,241.4507149164706,True,241.4507149164706
"(0, 0)","(100, 100)",75,True,250.08967507544128,True,250.08967507544128
