start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(99, 99)",20,True,533.9937842928429,True,331.10794494390103
"(0, 0)","(99, 99)",25,True,335.80130806242056,True,304.07995269974936
"(0, 0)","(99, 99)",30,True,529.4313611973142,True,303.0130843445637
"(0, 0)","(99, 99)",35,True,391.36812110160423,True,290.1115042688555
"(0, 0)","(99, 99)",40,True,489.19592890417084,True,283.2799665233995
"(0, 0)","(99, 99)",45,True,509.2299513650306,True,276.98638712786305
"(0, 0)","(99, 99)",50,True,511.0299931822664,True,272.1107381749752
"(0, 0)","(99, 99)",55,True,240.700811975358,True,277.6476937262595
"(0, 0)","(99, 99)",60,True,265.20162052272536,True,272.095777893915
"(0, 0)","(99, 99)",65,True,234.76815895142943,True,271.59280279482493
"(0, 0)","(99, 99)",70,True,319.48852230922915,True,254.91420390197095
"(0, 0)","(99, 99)",75,True,270.69209013695513,True,234.23018307192734
